ID;City;Companion#group;Year
810088;Hà Nội;Friends;2019
810107;Hà Nội;Friends;2019
810114;Hà Nội;Friends;2019
810173;Hà Nội;Friends;2019
810175;Hà Nội;Friends;2019
810178;Hà Nội;Friends;2019
810214;Hà Nội;Friends;2019
810241;Hà Nội;Friends;2019
810295;Hà Nội;Friends;2019
810298;Hà Nội;Friends;2019
810301;Hà Nội;Friends;2019
810313;Hà Nội;Friends;2019
810403;Hà Nội;Friends;2019
810445;Hà Nội;Friends;2019
810447;Hà Nội;Friends;2019
810587;Hà Nội;Friends;2019
810614;Hà Nội;Friends;2019
810724;Hà Nội;Friends;2019
810727;Hà Nội;Friends;2019
810732;Hà Nội;Friends;2019
810738;Hà Nội;Friends;2019
810743;Hà Nội;Friends;2019
810784;Hà Nội;Friends;2019
810790;Hà Nội;Friends;2019
810853;Hà Nội;Friends;2019
811278;Hà Nội;Friends;2019
811318;Hà Nội;Friends;2019
811380;Hà Nội;Friends;2019
811420;Hà Nội;Friends;2019
811439;Hà Nội;Friends;2019
811511;Hà Nội;Friends;2019
811577;Hà Nội;Friends;2019
811583;Hà Nội;Friends;2019
811683;Hà Nội;Friends;2019
811712;Hà Nội;Friends;2019
811880;Hà Nội;Friends;2019
812038;Hà Nội;Friends;2019
812057;Hà Nội;Friends;2019
812081;Hà Nội;Friends;2019
812189;Hà Nội;Friends;2019
812286;Hà Nội;Friends;2019
812351;Hà Nội;Friends;2019
812635;Hà Nội;Friends;2019
812675;Hà Nội;Friends;2019
812774;Hà Nội;Friends;2019
812778;Hà Nội;Friends;2019
812779;Hà Nội;Friends;2019
812784;Hà Nội;Friends;2019
812882;Hà Nội;Friends;2019
813146;Hà Nội;Friends;2019
813152;Hà Nội;Friends;2019
813155;Hà Nội;Friends;2019
813209;Hà Nội;Friends;2019
813278;Hà Nội;Friends;2019
813281;Hà Nội;Friends;2019
813286;Hà Nội;Friends;2019
813467;Hà Nội;Friends;2019
813534;Hà Nội;Friends;2019
813600;Hà Nội;Friends;2019
813608;Hà Nội;Friends;2019
813617;Hà Nội;Friends;2019
813645;Hà Nội;Friends;2019
813654;Hà Nội;Friends;2019
813675;Hà Nội;Friends;2019
813788;Hà Nội;Friends;2019
813918;Hà Nội;Friends;2019
813923;Hà Nội;Friends;2019
813930;Hà Nội;Friends;2019
813940;Hà Nội;Friends;2019
813950;Hà Nội;Friends;2019
813973;Hà Nội;Friends;2019
814005;Hà Nội;Friends;2019
814010;Hà Nội;Friends;2019
814011;Hà Nội;Friends;2019
814014;Hà Nội;Friends;2019
814041;Hà Nội;Friends;2019
814047;Hà Nội;Friends;2019
814071;Hà Nội;Friends;2019
814121;Hà Nội;Friends;2019
814156;Hà Nội;Friends;2019
814276;Hà Nội;Friends;2019
814442;Hà Nội;Friends;2019
814486;Hà Nội;Friends;2019
814585;Hà Nội;Friends;2019
814651;Hà Nội;Friends;2019
814686;Hà Nội;Friends;2019
814738;Hà Nội;Friends;2019
814781;Hà Nội;Friends;2019
814827;Hà Nội;Friends;2019
815191;Hà Nội;Friends;2019
815438;Hà Nội;Friends;2019
815453;Hà Nội;Friends;2019
815455;Hà Nội;Friends;2019
815639;Hà Nội;Friends;2019
815641;Hà Nội;Friends;2019
815653;Hà Nội;Friends;2019
815654;Hà Nội;Friends;2019
815658;Hà Nội;Friends;2019
815670;Hà Nội;Friends;2019
815730;Hà Nội;Friends;2019
815803;Hà Nội;Friends;2019
815824;Hà Nội;Friends;2019
815899;Hà Nội;Friends;2019
816008;Hà Nội;Friends;2019
816052;Hà Nội;Friends;2019
816083;Hà Nội;Friends;2019
816085;Hà Nội;Friends;2019
816091;Hà Nội;Friends;2019
816092;Hà Nội;Friends;2019
816107;Hà Nội;Friends;2019
816112;Hà Nội;Friends;2019
816135;Hà Nội;Friends;2019
816157;Hà Nội;Friends;2019
816196;Hà Nội;Friends;2019
816230;Hà Nội;Friends;2019
816248;Hà Nội;Friends;2019
816251;Hà Nội;Friends;2019
816254;Hà Nội;Friends;2019
816276;Hà Nội;Friends;2019
816317;Hà Nội;Friends;2019
816362;Hà Nội;Friends;2019
816444;Hà Nội;Friends;2019
816459;Hà Nội;Friends;2019
816477;Hà Nội;Friends;2019
816555;Hà Nội;Friends;2019
816561;Hà Nội;Friends;2019
816565;Hà Nội;Friends;2019
816649;Hà Nội;Friends;2019
816880;Hà Nội;Friends;2019
816940;Hà Nội;Friends;2019
816970;Hà Nội;Friends;2019
817023;Hà Nội;Friends;2019
817454;Hà Nội;Friends;2019
817462;Hà Nội;Friends;2019
817470;Hà Nội;Friends;2019
817471;Hà Nội;Friends;2019
817474;Hà Nội;Friends;2019
817476;Hà Nội;Friends;2019
817559;Hà Nội;Friends;2019
817568;Hà Nội;Friends;2019
817646;Hà Nội;Friends;2019
817681;Hà Nội;Friends;2019
817815;Hà Nội;Friends;2019
817899;Hà Nội;Friends;2019
817911;Hà Nội;Friends;2019
817993;Hà Nội;Friends;2019
817996;Hà Nội;Friends;2019
818009;Hà Nội;Friends;2019
818013;Hà Nội;Friends;2019
818028;Hà Nội;Friends;2019
818116;Hà Nội;Friends;2019
818136;Hà Nội;Friends;2019
818139;Hà Nội;Friends;2019
818142;Hà Nội;Friends;2019
818144;Hà Nội;Friends;2019
818178;Hà Nội;Friends;2019
818185;Hà Nội;Friends;2019
818208;Hà Nội;Friends;2019
818238;Hà Nội;Friends;2019
818268;Hà Nội;Friends;2019
818269;Hà Nội;Friends;2019
818272;Hà Nội;Friends;2019
818279;Hà Nội;Friends;2019
818307;Hà Nội;Friends;2019
818355;Hà Nội;Friends;2019
818368;Hà Nội;Friends;2019
818461;Hà Nội;Friends;2019
818464;Hà Nội;Friends;2019
818466;Hà Nội;Friends;2019
818468;Hà Nội;Friends;2019
818574;Hà Nội;Friends;2019
818578;Hà Nội;Friends;2019
818587;Hà Nội;Friends;2019
818733;Hà Nội;Friends;2019
818735;Hà Nội;Friends;2019
818739;Hà Nội;Friends;2019
818777;Hà Nội;Friends;2019
819379;Hà Nội;Friends;2019
819384;Hà Nội;Friends;2019
819385;Hà Nội;Friends;2019
819408;Hà Nội;Friends;2019
819429;Hà Nội;Friends;2019
819555;Hà Nội;Friends;2019
819558;Hà Nội;Friends;2019
819569;Hà Nội;Friends;2019
819642;Hà Nội;Friends;2019
819759;Hà Nội;Friends;2019
819761;Hà Nội;Friends;2019
819896;Hà Nội;Friends;2019
819914;Hà Nội;Friends;2019
819919;Hà Nội;Friends;2019
819927;Hà Nội;Friends;2019
819966;Hà Nội;Friends;2019
819984;Hà Nội;Friends;2019
819998;Hà Nội;Friends;2019
820039;Hà Nội;Friends;2019
820040;Hà Nội;Friends;2019
820047;Hà Nội;Friends;2019
820073;Hà Nội;Friends;2019
820079;Hà Nội;Friends;2019
820081;Hà Nội;Friends;2019
820227;Hà Nội;Friends;2019
820255;Hà Nội;Friends;2019
820257;Hà Nội;Friends;2019
820349;Hà Nội;Friends;2019
821745;Hà Nội;Friends;2019
821747;Hà Nội;Friends;2019
821748;Hà Nội;Friends;2019
821808;Hà Nội;Friends;2019
821882;Hà Nội;Friends;2019
821891;Hà Nội;Friends;2019
821899;Hà Nội;Friends;2019
821925;Hà Nội;Friends;2019
822155;Hà Nội;Friends;2019
822366;Hà Nội;Friends;2019
822367;Hà Nội;Friends;2019
822368;Hà Nội;Friends;2019
822520;Hà Nội;Friends;2019
822603;Hà Nội;Friends;2019
822950;Hà Nội;Friends;2019
822980;Hà Nội;Friends;2019
823341;Hà Nội;Friends;2019
823425;Hà Nội;Friends;2019
823525;Hà Nội;Friends;2019
823663;Hà Nội;Friends;2019
823665;Hà Nội;Friends;2019
823711;Hà Nội;Friends;2019
823827;Hà Nội;Friends;2019
823964;Hà Nội;Friends;2019
824024;Hà Nội;Friends;2019
824105;Hà Nội;Friends;2019
824171;Hà Nội;Friends;2019
824229;Hà Nội;Friends;2019
